PatentID	Example	Production
JP2021-189311	Example08P	Nikon Nikkor Z TC-2.0x
JP2021-189351	Example04P	Nikon Nikkor Z 40mm f/2
JP2021-189377	Example01P	Nikon Nikkor Z 24-50mm f/4-6.3
JP2021-192088	Example01P	Ricoh HD Pentax-DA 16-50mm F2.8 ED PLM AW
JP2022-030896	Example01P	Sony FE 24mm F2.8 G
JP2022-033487	Example01P	Sigma 35mm F1.4 DG DN Art
JP2022-085382	Example03P	Canon RF16mm F2.8 STM
JP2022-092388	Example01P	Nikon Nikkor Z 100-400mm f/4.5-5.6 VR S
JP2022-099402	Example01P	Hasselblad XCD 2.5 90V
JP2022-100641	Example01P	Cosina Voigtlander Ultron Vintage Line 28mm F2 Aspherical
JP2022-117775	Example01P	Ricoh HD Pentax-D FA 21mmF2.4ED Limited DC WR
JP2022-138408	Example01P	Sigma 18-50mm F2.8 DC DN C
JP7029611	Example01P	Panasonic Lumix S 70-300mm F4.5-5.6 Macro OIS
KR1020140184971	Example01P	Samyang 50mm F1.4 AS UMC
KR1020150147546	Example01P	Samyang AF 50mm F1.4 FE
KR1020150155317	Example01P	Samyang 135mm F2.0 ED UMC
KR1020150182611	Example01P	Samyang 100mm F2.8 ED UMC Macro
KR1020170053557	Example01P	Samyang AF 14mm F2.8 FE/RF
KR1020180065114	Example04P	Samyang AF 35mm F2.8 FE
KR1020180084767	Example03P	Samyang XP 35mm F1.2
KR1020200129711	Example02P	Samyang AF 85mm F1.4 EF
US001073950	Example01P	Ross Telecentric 305mm f6.8
US002012822	Example01P	Kapella 100mm F1
US002165328	Example02P	Kodak Ektar 50mm F3.5
US002186621	Example01P	Zeiss Sonnar 50mm F1.5 Opton Contax
US002397565	Example01P	Kodak Ektar 52mm F1.5
US002518719	Example02P	Kodak Ektar 100mm F6.3
US002627204	Example02P	Cosina Voigtlander Ultron 50mm f2
US002645973	Example01P	Canon Serenar 85mm f1.5
US002645974	Example01P	Canon Serenar 28mm f3.5
US002645975	Example01P	Canon Serenar 35mm f3.2
US002681594	Example01P	Canon Serenar 50mm f1.8
US002720140	Example03P	Zeiss Sonnar T f4 150mm
US002721499	Example02	Zeiss Biogon 2.1cm f/4.5
US002724994	Example02P	Zeiss Planar 2.8/80
US002745315	Example01P	Agfa Solagon 50mm F2
US002779239	Example01P	Canon 28mm f2.8
US002819651	Example01P	Agfa Color Telinear 90mm F4
US002824495	Example01P	Schneider Curtagon 4 / 28
US002828671	Example01	Nikon Nikkor-N 5cm f/1.1
US002838978	Example01P	Canon 50mm f2.8
US002846923	Example02P	Farrand Super-Farron 76mm f0.87
US002854890	Example01P	Canon 35mm f1.8
US002896506	Example01	Nikon W-Nikkor 3.5cm f/1.8
US002975673	Example01P	Leica Summicron-M 35mm F1.4
US002983193	Example01P	Kodak Aero Ektar 153mm F3.5
US002995980	Example01P	Leica Elmarit 90mm F2.8
US003005379	Example01P	Schneider Cine-Xenon 1.4 / 25
US003037426	Example01P	Kinoptik Tegea 5.7mm f/1.8
US003037426	Example02P	Kinoptik Tegea 9.8mm f/1.8
US003037426	Example03P	Kinoptik Super-Tegea 1.9mm f/1.9 Fisheye
US003038379	Example01P	Schneider Cinegon 1.8 / 10
US003038380	Example01P	Zeiss Distagon 4/35
US003057257	Example01P	Schneider Variogon 2.8 / 10-40
US003108152	Example02P	Leica Elmarit-M 135mm F2.8
US003291553	Example01P	Leica Summilux 50mm F1.4
US003318653	Example01P	Schneider Curtagon 2.8 / 35 gen 2
US003336094	Example02P	Schneider Tele-Variogon 4.0 / 80-240
US003376091	Example01P	Schneider Super-Angulon 5.6 / 75
US003410632	Example02P	Leica PA-Curtagon-R 35mm F4
US003442573	Example01P	Schneider Variogon 1.8 / 8-40
US003459469	Example01P	Ricoh Pentax Super-Takumar 135mm f2.5
US003467462	Example01P	Ricoh SMCT Pentax 6x7 300mm f4
US003482900	Example01P	Schneider Variogon 2.8 / 45-100
US003490825	Example01P	Ricoh Pentax Ultra-Achromatic-Takumar 85mm F4.5
US003502393	Example01P	Ricoh SMC Pentax 6x7 600mm f4
US003502394	Example01P	Ricoh Pentax Super-Takumar 300mm f4
US003506336	Example01P	Ricoh Pentax Super-Takumar 35mm f2
US003506337	Example01P	Ricoh smc Pentax 85-210mm F4.5
US003506339	Example01P	Ricoh Pentax Super-Takumar 28mm f3.5
US003507556	Example01P	Nikon AI Reflex-Nikkor 1000mm f/11
US003507558	Example01P	Nikon AI Nikkor 35mm f/2
US003515462	Example01P	Ricoh smc Pentax 17mm F4 Fish-Eye
US003524697	Example01P	Nikon Fisheye-Nikkor 6mm f/5.6
US003536379	Example01P	Leica Telyt-S 800mm f/6.3
US003545845	Example01P	Ricoh smc Pentax 24mm F3.5
US003549241	Example02P	Nikon Nikkor 20mm f/4
US003552833	Example01P	Leica Macro-Elmarit-R 60mm F2.8
US003560079	Example01	Nikon Nikkor-S Auto 50mm f/1.4
US003576360	Example01	Nikon AI Nikkor 35mm f/1.4S
US003584935	Example01P	Konica Minolta Varifocal Hexanon AR 35-100mm F2.8
US003589798	Example02P	Konica Minolta AF 16mm F2.8 FishEye
US003615125	Example01P	Nikon Auto Zoom-Nikkor 80-200mm f/4.5
US003615126	Example01P	Konica Minolta Hexar 38mm F2.8
US003622227	Example01	Nikon Nikkor-N Auto 24mm f/2.8
US003632190	Example02P	Nikon Reflex-Nikkor-C 500mm F/8
US003634001	Example01P	Miranda Auto E 50mm F1.4
US003649104	Example03P	Leica Elcan 50mm F2
US003663095	Example02P	Nikon Nikkor-PD Auto 15mm f/5.6
US003736049	Example01P	Nikon Nikkor-N Auto 28mm f/2
US003737214	Example01P	Nikon Fisheye-Nikkor 6mm f/2.8
US003738736	Example03P	Nikon Nikkor 50mm f/1.2
US003740120	Example03P	Leica Elmarit-R 28mm F2.8
US003741630	Example01P	Olympus OM Zuiko 8mm f2.8 Circular Fisheye
US003743384	Example01P	Nikon AI Zoom-Nikkor 360-1200mm f/11 ED
US003748021	Example01P	Canon FD17mm f4
US003748021	Example02P	Canon FD24mm f2.8
US003748022	Example01P	Canon FD35mm f2
US003749478	Example02P	Olympus Zuiko Auto-T 100mm F2.8
US003771853	Example03	Nikon Zoom Nikkor 28-45mm f/4.5 (New)
US003774991	Example03P	Nikon pre-AI 800mm f/8 ED
US003796481	Example04P	Olympus 75-150mm f4 Zuiko Auto-Zoom
US003804494	Example01P	Olympus Zuiko Auto-T 200mm F5
US003817603	Example01P	Ricoh smc Pentax-M 50mm F1.7
US003819253	Example01P	Olympus 300mm f4.5 F Zuiko Auto-T
US003827781	Example01P	Olympus 600mm f6.5 F Zuiko Auto-T
US003830559	Example01P	Olympus 24mm f2 J Zuiko Auto-W
US003838911	Example01P	Olympus 135mm f3.5 E Zuiko Auto-T
US003844640	Example01P	Olympus 35mm f2 H Zuiko Auto-W
US003848969	Example01P	Canon FD35-70mm f2.8-3.5 SSC
US003848972	Example01P	Olympus F.Zuiko Auto-T 85mm F2
US003850509	Example01P	Olympus 16mm f3.5 Zuiko Auto-Fisheye
US003856386	Example01P	Yashica Auto Yashinon-DS 20mm F3.3
US003862794	Example02P	Olympus 28mm f2 I Zuiko Auto-W
US003864026	Example04P	Ricoh smc Pentax-A 15mm F3.5
US003864027	Example01P	Olympus 400mm f6.3 E Zuiko Auto-T
US003868174	Example01P	Canon FD300mm f2.8 SSC Fluorite
US003874770	Example01	Nikon Nikkor 35mm f/2.8 (New)
US003874771	Example05P	Zeiss Planar T f1.4 50mm
US003883229	Example02P	Zeiss Sonnar Superachromat f5.6 250mm CFE
US003884556	Example03P	Olympus 21mm f3.5 G Zuiko Auto-W
US003884556	Example04P	Olympus 24mm f2.8 I Zuiko Auto-W
US003884557	Example01P	Olympus 50mm f3.5 Zuiko Auto-Macro
US003912373	Example01P	Schneider TV-Variogon 2.1-6.6 / 20-600
US003915558	Example08P	Zeiss Distagon T f1.4 35mm Contax
US003936153	Example01P	Konica Minolta 35mm F2.8 MD
US003938883	Example01P	Ricoh smc Pentax 24mm F2.8
US003955883	Example02P	Ricoh smc Pentax-M 28mm F3.5
US003963325	Example01P	Ricoh smc Pentax-A 35mm F2.8
US003973832	Example02P	Konica Minolta 28mm F2.8 MD
US003975089	Example01P	Vivitar Series 1 35-85mm f2.8
US003992085	Example01P	Canon FD24mm f1.4 SSC Aspherical
US003994574	Example02P	Olympus 24mm F2.8 Zuiko Auto-W
US003994576	Example01P	Zeiss Sonnar 40mm F2.8 Rollei
US003997247	Example11P	Zeiss S-Biogon f5.6 40mm
US004018512	Example01P	Fujifilm Fujinon-W 35mm f1.9 EBC
US004025167	Example02p	Olympus Zuiko Auto-Zoom 85-250mm F5
US004029397	Example02P	Olympus 18mm f3.5 Zuiko MC Auto-W
US004045128	Example01P	Canon FD400mm f4.5 SSC
US004046459	Example02P	Canon FD28mm f2.8 SC
US004057330	Example02P	Nikon AI Nikkor 135mm f/2.8S
US004062622	Example02P	Ricoh smc Pentax-M 20mm F4.0
US004062630	Example05	Nikon AI Nikkor 135mm F2
US004063802	Example01P	Olympus Zuiko Auto-T 85mm F2
US004074931	Example01P	Ricoh smc Pentax-M 35-70mm F2.8-3.5
US004094588	Example01P	Olympus Zuiko Auto-S 50mm F1.4
US004099843	Example06P	Olympus Zuiko Auto-S 50mm F1.2
US004099850	Example05P	Nikon Nikkor 28mm f/3.5
US004110006	Example04P	Canon FD150-600mm f5.6L
US004123144	Example08P	Leica Summicron R 50mm f/2
US004124276	Example03P	Konica Minolta 85mm F2.8 VariSoft
US004126378	Example03P	Konica Minolta 600mm F6.3 MD Apo-Tele
US004134645	Example01P	Ricoh smc Pentax-M 120mm F2.8
US004134645	Example02P	Ricoh smc Pentax-M 135mm F3.5
US004134645	Example03P	Ricoh smc Pentax-M 150mm F3.5
US004139264	Example02P	Ricoh smc Pentax-M 200mm F4.0
US004143944	Example01P	Ricoh smc Pentax-M 35mm F1.4
US004143945	Example03P	Ricoh smc Pentax-M 28mm F2.8
US004147410	Example01P	Konica Minolta 24-50mm F4 MD Zoom
US004153338	Example03P	Olympus 35-70mm F3.6 Zuiko Auto-Zoom
US004154508	Example11	Nikon TC-1
US004154509	Example01P	Ricoh SMC Pentax-M 40mm F2.8
US004158482	Example01P	Fujifilm X-Fujinon-SW 24mm f2.8 DM EBC
US004163603	Example03P	Nikon AI Nikkor 24mm f/2
US004165151	Example01P	Canon New FD 500mm f8 Mirror
US004170403	Example01P	Konica Minolta Hexanon 35mm F2.8
US004176913	Example02	Nikon AI Nikkor 200mm f/2S IF-ED
US004176915	Example01P	Nikon Nikkor-SW 90mm f/4.5
US004182550	Example02P	Konica Minolta 50mm F1.4 MD
US004188091	Example02P	Canon 500mm f8 Zuiko Reflex
US004189212	Example08	Nikon AI Zoom-Nikkor 25-50mm f/4
US004189213	Example03P	Nikon AI Zoom-Nikkor 50-300mm f/4.5 ED
US004192577	Example01P	Konica Minolta 50-135mm F3.5 MD Zoom
US004195912	Example02P	Fujifilm Fujinon-Z 43-75mm F3.5-4.5
US004203653	Example01P	Nikon LW-Nikkor 28mm f/2.8
US004206971	Example01P	Nikon TC-14
US004206971	ExampleMLP	Nikon Nikkor 200mm f/2 IF-ED
US004210388	Example01P	Olympus Zuiko Auto-W 21mm F2
US004214816	Example01P	Konica Minolta 135mm F2.8 MD
US004223981	Example01P	Nikon AI Nikkor 80-200mm f/4.5
US004223982	Example02P	Ricoh Pentax-110 24mm F2.8
US004231636	Example01P	Konica Minolta Zoom-Rokkor 40-80mm f2.8 MC
US004234242	Example03	Nikon AI Nikkor 50mm f/1.8S
US004235521	Example01P	Olympus F.Zuiko 35mm f2.8 (XA)
US004241983	Example01P	Canon FD500mm f4.5L
US004251133	Example03P	Canon FD300mm f4L
US004258985	Example04P	Konica Minolta AF 28mm F2
US004260223	Example01P	Nikon Micro-Nikkor 55mm f/2.8
US004264136	Example02P	Konica Minolta 250mm F5.6 RF
US004266860	Example02P	Nikon AI Zoom-Nikkor 35-70mm f/3.5
US004277149	Example07P	Konica Minolta 45mm F2 MD Rokkor
US004289385	Example01P	Ricoh Pentax-110 50mm F2.8
US004293197	Example01P	Ricoh smc Pentax-M 300mm F4
US004303312	Example01P	Zeiss Vario-Sonnar T 3.5/70-210
US004303314	Example01	Nikon Series E 100mm f/2.8
US004303314	Example03	Nikon Series E 135mm f/2.8
US004324458	Example03P	Canon FD300mm f5.6 SSC
US004331389	Example01P	Ricoh smc Pentax-M 75-150mm F4
US004333714	Example01P	Vivitar MC 28mm f2.8
US004338001	Example02	Nikon AI Nikkor 180mm f/2.8 ED
US004377326	Example01P	Olympus Zuiko Auto-Macro 38mm f2.8
US004380377	Example01P	Canon New FD70-210mm f4
US004392724	Example01P	Nikon AI Micro-Nikkor 105mm f/2.8S
US004396256	Example01P	Nikon AI Nikkor 85mm f/1.4S
US004398808	Example02P	Canon New FD50-300mm f4.5L
US004412725	Example01P	Ricoh Pentax-110 20-40mm F2.8
US004435049	Example05P	Olympus Zuiko Auto-T 100mm F2
US004437734	Example01	Nikon Medical-Nikkor 120mm f/4 IF
US004443068	Example03P	Ricoh smc Pentax Reflex 400-600mm F8-12
US004444473	Example05P	Konica Minolta 50mm F2.0 MD
US004447137	Example02P	Ricoh smc Pentax-A 135mm F1.8
US004448497	Example01P	Nikon Nikkor 50mm f/1.4
US004452513	Example01P	Nikon AI Nikkor 80-200mm f/4S
US004452513	Example03P	Nikon AI Nikkor 200-400mm f/4S
US004457596	Example01	Nikon 'Pikaichi' L35AF 35mm f/2.8
US004468097	Example02P	Nikon Zoom-Nikkor 80-200mm f/2.8 ED-IF
US004468098	Example01P	Ricoh smc Pentax-A 70-210mm F4.0
US004468100	Example01P	Ricoh smc Pentax-F 28mm F2.8
US004477153	Example01P	Canon FD20-35mm f3.5L Aspherical
US004487485	Example01P	Ricoh SMC Pentax 645 A 45mm f2.8
US004493536	Example01P	Konica Minolta 28mm F2.8 MD v2
US004497547	Example01	Nikon AI Zoom-Nikkor 50-135mm f/3.5S
US004508434	Example01P	Ricoh smc Pentax-A 85mm F1.4
US004514051	Example01P	Nikon TC-14A
US004514051	ExampleML01P	Nikon Nikkor 180mm f/2.8 ED
US004514051	ExampleML02P	Nikon AI Nikkor 50mm f/1.8
US004518229	Example08P	Konica Minolta AF 300mm F2.8 APO
US004523814	Example05P	Ricoh smc Pentax-A 28-135mm F4
US004523816	Example04P	Vivitar Series 1 450mm F4.5 Solid Mirror
US004545654	Example05P	Ricoh smc Pentax-A 400mm F2.8 ED [IF]
US004550987	Example01P	Ricoh smc Pentax-A 200mm F4
US004560253	Example02P	Konica Minolta AF 35-70mm F4
US004568150	Example04P	Olympus Zuiko Auto-Zoom 65-200mm F4
US004576443	Example05P	Ricoh smc Pentax-A 35-105mm F3.5
US004621909	Example03	Nikon AI Nikkor 50mm f/1.2S
US004660940	Example03P	Ricoh smc Pentax 6x7 55mm f4
US004666259	Example01P	Nikon Reflex-Nikkor 500mm f/8(new)
US004666260	Example01P	Ricoh smc Pentax-A 200mm F4 Macro ED
US004673258	Example01P	Konica Minolta AF 100-200mm F4.5
US004690513	Example04P	Canon EF35-135mm f3.5-4.5
US004690517	Example01P	Nikon AF Nikkor 20mm f/2.8D
US004699475	Example07	Nikon AI Zoom-Nikkor 35-105mm f/3.5-4.5S
US004708445	Example06P	Olympus Zuiko Auto-Macro 50mm F2
US004717245	Example02P	Canon EF50mm f/1.0L USM
US004726669	Example01P	Angenieux DEM 180mm F2.3 APO
US004728179	ExampleMLP	Olympus Zuiko Auto-S 50mm F1.8
US004732459	Example04P	Nikon Nikkor 300mm f/2 ED-IF
US004764000	Example08P	Konica Minolta AF 100mm F2.8 Macro
US004770509	Example04P	Nikon AF Zoom-Nikkor 35-70mm f/3.3-4.5
US004770511	Example02	Nikon AI Zoom-Nikkor 35-200mm f/3.5-4.5S
US004770516	Example05P	Ricoh smc Pentax-F 100mm F2.8 Macro
US004773745	Example01P	Schneider Super-Symmar HM 5.6 / 120
US004786152	Example03P	Konica Minolta AF 200mm F2.8 APO
US004792215	Example03P	Ricoh Pentax-A 35-70mm f4
US004792219	Example03P	Olympus Zuiko Auto-Macro 90mm F2
US004793698	Example01P	Ricoh smc Pentax-F 135mm F2.8 [IF]
US004806000	Example01P	Nikon AF Zoom-Nikkor 28-85mm f/3.5-4.5
US004806003	Example02P	Konica Minolta AF 35mm F1.4
US004812022	Example03P	Ricoh smc Pentax-A 35-70mm F4
US004812026	Example02P	Ricoh smc Pentax-F 300mm F4.5 ED [IF]
US004812027	Example01	Nikon AI-S AF Nikkor 85mm f/1.8
US004812027	Example01P	Nikon AI-S AF Nikkor 85mm f/1.8
US004826301	Example04P	Canon EF135mm f2.8 Soft Focus
US004848883	Example04P	Ricoh smc Pentax-F 250-600mm F5.6 ED [IF]
US004871239	Example03P	Konica Minolta AF 35-105mm F3.5-4.5 v2
US004871241	Example01P	Ricoh smc Pentax-F 70-210mm F4-5.6 ED
US004904070	Example01P	Ricoh smc Pentax-FA 600mm F4ED[IF]
US004908639	Example02	Nikon AI AF DC Nikkor 135mm f/2S
US004923292	Example02P	Ricoh smc Pentax-D FA Macro 50mm F2.8
US004934797	Example03P	Ricoh smc Pentax-FA 24mm F2 AL [IF]
US004948236	Example03P	Ricoh smc Pentax 6x7 120mm f3.5 Soft
US004951078	Example01P	Konica Minolta AF Reflex 500mm F8
US004986643	Example05	Nikon AI AF Micro-Nikkor 105mm f/2.8S
US005000550	Example01P	Canon EF20-35mm f2.8L
US005061053	Example01P	Ricoh smc Pentax-FA 70-200mm F4-5.6
US005144488	Example01P	Canon EF35-135mm f4-5.6 USM
US005161060	Example01P	Leica Summilux-M 35mm F1.4 Asph v1
US005189557	Example07P	Canon EF35-350mm f3.5-5.6L USM
US005233474	Example01P	Ricoh smc Pentax-FA 28mm F2.8 AL
US005249079	Example01P	Konica Minolta 35-135mm F3.5-4.5 MD Zoom
US005253112	RCL01P	Nikon AF-I Teleconverter TC-20E
US005257137	Example01P	Nikon R-UW AF Micro-Nikkor 50mm f/2.8
US005264965	Example04P	Ricoh smc Pentax-FA 28-105mm F4-5.6
US005267086	Example01P	Ricoh smc Pentax-F 85mm F2.8 Soft
US005315441	Example01	Nikon AI Nikkor 28mm f/1.4D
US005325234	Example03P	Ricoh smc Pentax-DA 200mm F2.8 ED[IF] SDM
US005347399	Example07P	Ricoh smc Pentax-FA 100-300mm F4-5.6
US005388006	ExampleFR1F01P	Leica APO-Telyt-R 280mm F2.8
US005434713	Example02	Nikon AI AF Fisheye-Nikkor 16mm f/2.8D
US005438455	Example01P	Nikon AF Nikkor 400mm f/2.8D IF-ED
US005485314	Example04	Nikon AF Zoom-Nikkor 28-80mm f/3.3-5.6G
US005490012	Example01P	Nikon R-UW AF Zoom-Nikkor 20-35mm f/2.8
US005528423	Example02P	Konica Minolta AF 24-85mm F3.5-4.5 RS
US005537259	Example01P	Canon EF70-200mm f2.8L USM
US005546232	Example03P	Ricoh smc Pentax-F 35-80mm F4-5.6
US005548447	Example01P	Fujifilm Fujinon 60mm F4 Super EBC (GA645 Professional)
US005557473	Example03P	Nikon AF Nikkor 28mm f/2.8D
US005568323	Example05P	Ricoh smc Pentax-FA 28-70mm F2.8 AL
US005572276	Example05P	Ricoh smc Pentax-FA 80-200mm F2.8 ED [IF]
US005579169	Example01P	Nikon R-UW AF Fisheye-Nikkor 13mm f/2.8
US005621575	Example06P	Fujifilm Fujinon 45mm F4 Super EBC (GA645 Wide Professional)
US005633759	Example02P	Konica Minolta AF 100-400mm F4.5-6.7 APO
US005633759	Example06P	Konica Minolta AF 75-300mm F4.5-5.6 D
US005640277	Example01	Nikon AF Nikkor 85mm f/1.4D IF
US005640277	Example01P	Nikon AF Nikkor 85mm f/1.4D IF
US005666230	Example01P	Nikon AF Nikkor 20-35mm F/2.8D IF
US005710669	Example11P	Canon EF17-35mm f2.8L USM
US005717527	Example05	Nikon AF Zoom-Micro-Nikkor 70-180mm f/4.5-5.6D ED
US005724193	Example01P	Ricoh smc Pentax-F 17-28mm F3.5-4.5 Fish-Eye
US005734508	Example01	Nikon AI AF Nikkor 24-120mm f/3.5-5.6
US005751485	Example01	Nikon AI AF Micro-Nikkor 60mm f/2.8S
US005751485	Example01P	Nikon AF Micro-Nikkor 60mm f/2.8D
US005751485	Example03P	Nikon Micro-Nikkor 105mm f/2.8
US005751485	Example09P	Nikon AF Micro-Nikkor 200mm f4D IF-ED
US005760973	Example01P	Ricoh 28mm F2.8 (GR-1)
US005764425	Example04	Nikon 120mm f/4.5 Gugutto Macro
US005786942	Example01P	Ricoh smc Pentax-FA 28-70mm F4 AL
US005796530	Example04SF2	Nikon 90mm f/4.8 Fuwatto Soft
US005822132	Example01P	Ricoh smc Pentax-FA 28mm F2.8 Soft
US005899585	Example01P	Canon EF28-80mm f3.5-5.6 II
US005949588	Example08	Nikon 20mm f/8 Gyogyotto Fisheye
US006002533	AL03P	Ricoh smc Pentax Life Size Converter 6x7 for smc 6x7 Macro 100mm f4.0
US006002533	Example03P	Ricoh smc Pentax 6x7 Macro 100mm f4.0 with Life Size Converter
US006002533	MLP	Ricoh smc Pentax 6x7 Macro 100mm f4.0
US006028720	Example02P	Schneider APO-Symmar 5.6 / 100
US006052235	Example06P	Ricoh smc Pentax-FA 80-320mm F4-5.6
US006061180	Example01P	Canon EF28-135mm f3.5-5.6 IS USM
US006078435	Example02P	Ricoh smc Pentax-FA 28-80mm F3.5-4.7
US006115188	Example01P	Canon EF300mm f2.8L IS USM
US006115188	Example22P	Canon EF600mm f4L IS USM
US006115188	Example24P	Canon EF500mm f4L IS USM
US006115188	Example25P	Canon EF400mm f2.8L IS USM
US006128140	Example04P	Ricoh smc Pentax-FA 24-90mm F3.5-4.5 AL [IF]
US006141156	Example04	Nikon AI AF VR Zoom-Nikkor 80-400mm f/4.5-5.6D ED
US006239919	Example04P	Nikon AF-S Nikkor 400mm f/2.8D IF-ED II
US006288845	Example01P	Canon EF300mm f2.8L USM
US006320698	Example03P	Nikon AF Zoom-Nikkor 35-70mm f/2.8D
US006327098	Example05P	Ricoh smc Pentax-FA 20-35mm F4AL
US006359739	Example05P	Ricoh smc Pentax-FA 200mm F4 Macro ED [IF]
US006384987	Example05P	Ricoh smc Pentax-FA 35mm F2 AL
US006437923	Example01P	Tamron AF 28-200mm F3.8-5.6 Aspherical 71D
US006445511	Example03P	Hasselblad HC 4 210 (Fujinon)
US006560042	Example03P	Ricoh smc Pentax-FA 31mm F1.8 AL Limited
US006618197	Example02P	Canon EF300mm f4L IS USM
US006621643	Example01	Nikon AF Zoom-Nikkor 28-200mm f/3.5-5.6G IF-ED
US006693750	Example01P	Nikon AF-S Zoom-Nikkor 70-200mm f/2.8G IF-ED VR
US006940655	Example01	Nikon AF-S DX Zoom-Nikkor 12-24mm f/4G IF-ED
US007075731	Example01P	Tamron SP AF28-75mm F/2.8 XR Di LD Aspherical (Model A09)
US007158320	Example03P	Canon EF100-300mm f4.5-5.6 USM
US007161746	Example09P	Nikon AF Fisheye-Nikkor 10.5mm f/2.8G ED
US007218457	Example03P	Nikon AF-S Micro-Nikkor 105mm f/2.8G VR
US007277232	Example04P	Nikon AF-S DX Zoom-Nikkor 18-55mm f/3.5-5.6G ED II
US007280284	Example03P	Olympus Zuiko Digital ED 7-14mm F4.0
US007289274	Example05P	Ricoh smc Pentax-DA 50-135mm F2.8ED[IF] SDM
US007301711	Example06P	Ricoh smc Pentax-DA 16-50mm F2.8ED AL[IF] SD
US007317581	Example09P	Ricoh smc Pentax-DA Fish-eye 10-17mm F3.5-4.5ED[IF]
US007359125	Example01P	Nikon AF-S Nikkor 14-24mm f/2.8G ED
US007408719	Example01P	Olympus Zuiko Digital ED 150mm F2.0
US007411746	Example01P	Ricoh HD Pentax-DA 21mm F3.2 Limited
US007471462	Example02P	Canon EF-S55-250mm f4-5.6 IS
US007489452	Example01P	Ricoh smc Pentax-DA 60-250mm F4 ED[IF] SDM
US007508592	Example02P	Nikon AF-S Nikkor 24-70mm f/2.8G ED
US007542219	Example01P	Ricoh HD Pentax-DA 70mm F2.4 Limited
US007583450	Example04P	Olympus Zuiko Digital ED 12-60mm F2.8-4.0 SWD
US007656591	Example01P	Nikon PC-E Micro-Nikkor 45mm f/2.8D ED
US007706085	Example01P	Olympus Zuiko Digital 25mm F2.8
US007715116	Example07P	Ricoh smc Pentax-DA 300mm F4 ED[IF] SDM
US007715118	Example01P	Ricoh HD Pentax-DA 35mm F2.8 Macro Limited
US007804652	Example04P	Ricoh smc Pentax-DA 17-70mm F4AL[IF] SDM
US007864451	Example01P	Canon EF100mm f2.8L Macro IS USM
US007898744	Example02P	Nikon AF-S Micro-Nikkor 60mm f/2.8G ED
US008049968	Example05P	Sony 70-400mm F4-5.6 G SSM II
US008081392	Example03P	Olympus Zuiko Digital ED 14-35mm F2.0 SWD
US008169718	Example04P	Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5G ED
US008203795	Example05P	Samsung 60mm F2.8 Macro ED SSA OIS
US008228605	Example02P	Tamron SP 70-300mm F/4-5.6 Di VC USD
US008248716	Example01P	Olympus M.Zuiko 12mm F2.0
US008416506	Example06P	Nikon AF-S Nikkor 70-200mm f/2.8G ED VR II
US008416512	Example03P	Nikon AF-S Nikkor 24mm f/1.4G ED
US008508864	Example02P	Leica Summilux C 40mm T1.4
US008553339	Example01P	Sony E 18-200mm F3.5-6.3 OSS
US008736971	Example03P	Canon EF24-70mm f2.8L II USM
US008755132	Example01P	Olympus M.Zuiko 17mm F2.8
US008767310	Example02P	Olympus M.Zuiko ED 40-150mm F4.0-5.6 R
US008767319	Example01P	Nikon AF-S Nikkor 85mm f/1.4G
US008810918	Example04P	Tamron SP 24-70mm F/2.8 Di VC USD
US008837056	Example01P	Sony E 55-210mm F4.5-6.3 OSS
US008854747	Example01P	Canon EF-M22mm f2 STM
US008867144	Example01P	Tamron SP 70-200mm F/2.8 Di VC USD
US008879901	Example03P	Metabones Canon EF Lens to Sony E Mount T Speed Booster Ultra 0.71x
US008879901	Example04P	Metabones M43 Speed Booster 0.71x
US008879901	Example04PP	Nikon AI Nikkor 50mm f/1.2S with Metabones M43 Speed Booster 0.71x
US008903232	Example11P	Metabones Speed Booster Ultra-m43 0.71x
US008970966	Example02P	Canon EF40mm f2.8 STM
US008994842	Example01P	Olympus M.Zuiko 14-42mm F3.5-5.6 II R
US009063253	Example01P	Tamron SP 90mm F/2.8 Di Macro 1:1 VC USD
US009151939	Example01P	Olympus M.Zuiko ED 14-150mm F4.0-5.6 II
US009256059	Example01P	Nikon AF-S Nikkor 18-35mm f/3.5-4.5G ED
US009538088	Example01P	Sony Vario-Tessar T* E 16-70mm F4 ZA OSS
US009651761	Example01P	Fujifilm Fujinon XF18-135mm F3.5-5.6 R LM OIS WR
US010048474	Example01P	Olympus M.Zuiko ED 60mm F2.8 Macro
US010073255	Example04P	Olympus M.Zuiko ED 17mm F1.2 PRO
US010107992	Example04P	Olympus M.Zuiko ED 300mm F4.0 IS PRO
US010168507	Example04P	Fujifilm Fujinon XF50mm F2 R WR
US010191246	Example01P	Fujifilm Fujinon GF32-64mm F4 R LM WR
US010191254	Example10P	Sony FE 28mm F2
US010197893	Example01P	Fujifilm Fujinon XF50-140mm F2.8 R LM OIS WR with Fujifilm Fujinon XF2X TC WR
US010197893	Example01TCP	Fujifilm Fujinon XF2X TC WR
US010247926	Example06P	Canon EF16-35mm f4L IS USM
US010545321	Example04P	Tamron SP 150-600mm F/5-6.3 Di VC USD
US010571651	Example01P	Canon TS-E50mm f2.8L Macro
US010690896	Example01P	Nikon AF-P DX Nikkor 18-55mm f/3.5-5.6G VR
US20010006433	Example01P	Ricoh smc Pentax-FA 100-300mm F4.7-5.8
